科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
工程學科,魚能發電之開發及應用,魚能發電,魚類追蹤器,壓電陶瓷,「魚能發電」是全新的能量擷取研究，讓魚類游動變成電能。海洋魚類生態研究著重在魚類追蹤，傳統追蹤器受限於電池容量無法長期追蹤，故以魚類追蹤器為目標，以流體分析軟體 ANSYS 模擬三維流場不同水流速度與形變量，找出追蹤器的最佳設計為前端鈍體為「正三角柱加尾翼」。透過自製大型文氏管，將迴流水槽原僅每秒0.6公尺流速提高9倍達每秒5.37公尺，是目前台灣壓電發電水流實驗的最高流速。並透過快速傅利葉轉換及自製微電能整流儲能模組，獲得水流速度之頻率特性、發電量上升率，得到許多寶貴的研究數據。本研究提出創新的壓電陶瓷軟性固定法，有效解決傳統迫緊固定易斷裂及防水問題，讓壓電陶瓷能應用在「魚能發電」；亦自製微電能整流儲能模組量測電能、仿魚尾鰭之不對稱尾翼，獲得最高發電量 10μW，是魚類生態追縱新里程碑。
工程學科,結合物體辨識於室內自主定位探勘系統,機器人運作系統,粒子濾波器,同步定位及地圖構建,本研究透過ROS(機器人運作系統)實作一個結合自由探勘、SLAM(同步定位及地圖構建)及物體辨識之機器人系統。利用ROS機體與程式軟體分離的優點，本研究開發出的系統並不僅侷限於在一種機體上使用，對於任何能安裝ROS或與ROS連結之機體都能使用，供各式各樣的服務做為一系統性的路徑規劃器及運動基座。除了導航功能外，機器人透過攝影機得以判斷自己現在身處的環境而並非單純繪製地圖，且能讓人更容易地對機器人下達指令；更因其特化的避障機制，本研究的系統很適合在日常辦公室工作環境中做為助手。以實際環境及模擬器探討此系統擅長及較不適用的環境，呈現目前機器人系統的運作能力。
工程學科,運用 DDPG 建構氣動式肌肉上臂運動強化學習模型,仿生手臂,強化學習,氣動肌肉,研究探討透過強化學習讓機器學習各種人類上臂運動。延續「運用氣動肌肉缸模擬上臂肌肉控制之研究」，透過有限的動作組可以控制上臂肌肉，然而因應環境條件的多變，模擬人類透過學習產生多樣多變的反應，在仿生的領域中有其必要。比較強化學習中的Actor-Critic與 DDPG (Deep Deterministic Policy Gradient)兩種模式，我們透過 Gym 建構具動作與環境限制的簡易訓練環境。比較兩個模型的細節後，最後選用了 DDPG 為我們主要的強化學習方法。首先我們利用 Tensorflow 模擬學習模式並記錄模擬移動的學習過程。我們運用到仿生手臂的實體，藉由影像辨識取得手臂的狀態，回饋至學習模型。仿生手臂運用學習資料進行移動，接著我們觀測系統所學習的移動是否可完成指定動作或工作。在軟體模擬中，我們證實了藉由達成數次目標的學習後，DDPG 可完成較細緻的移動。而 DDPG 在仿生手臂上的實作，則需透過輸出動作給氣動仿生手臂系統，來控制仿生手臂移動至目標位置。在未來，機器人將不單單只是運用馬達來當作動力來源，也能運用氣動肌肉缸成為動力元件。並且，人形機器人將會做出更像真實人體的動作。
工程學科,應用仿生機器人於蜂鳥起飛行為之研究,仿生,機器人,蜂鳥起飛,本研究利用仿生機器人(Biomorphic robotics)來探討蜂鳥(hummingbird)在不同重量變化下的飛行機制。本實驗利用了使用多連桿結構組成的仿生蜂鳥機器人，並使用懸吊裝置來模擬不同重量的蜂鳥，再藉由慢動作高速攝影機來紀錄蜂鳥振翅飛行的過程。透過影像分析與紀錄重量變化來分析仿生蜂鳥拍翅時的動態行為後，我們可以得到與仿生蜂鳥重量相對應的上升力結果與不同蜂鳥重量下相對應的拍翅頻率數據。我們從這些關係分析作圖並推導出對應的公式，這些結果可以解釋為何大部分蜂鳥重量都介於 10 - 20 克以及拍翅頻率介於 20-50Hz，目前尚未有文獻發現及探討這些相關現象的研究，此研究的結果可作為未來微型撲翼機(ornithopter) 的設計參考，有助於微型軍用探測機械與小型空中救援機械的發展。
化學科,蛋白質模板合成CuS及其光治療應用,仿生礦化合成,光治療,CuS 奈米材料,"本研究以牛血清白蛋白(BSA)做為合成模板，利用仿生礦化法合成 CuS 奈米晶體，並藉由葉酸(Folic Acid Hydrate，FA)進行表面修飾作為特異性標靶，再利用 EDC/Sulfo-NHS 共價交聯反應結合光敏劑二氫卟吩(Chlorin e6, Ce6)於 CuS@FA 奈米材料表面，可成功地合成多功能性奈米複合材料 CuS@FACe6。經由 UV、PL、ICP、Zeta potential 與 DLS，進行奈米材料組成及光學性質之分析，並透過雷射光激發的照射下，觀察其溫度變化，可驗證其具有光熱材料之性質。此外，材料亦具備了光敏劑 Ce6 之特性，可結合光熱與光動力治療來達到雙重治療的特性。在生物毒性的測試實驗，選用斑馬魚的受精卵為試驗細胞。紀錄斑馬魚胚胎在不同濃度的材料下，發育狀態及死亡數，確認了材料為低毒性，具有潛力成為新興光治療材料，可運用在癌症治療。"
化學科,不同形態之銀奈米結構及銅銀雙金屬對電催化二氧化碳還原產物的研究,銀銅奈米結構,電催化,二氧化碳還原,近年來全球暖化與能源危機成為眾人關心的議題，將太陽能轉換成電能並電解還原二氧化碳，生成運用於替代能源的產物，可同時解決兩個議題。本研究以水熱反應製備銅奈米線，以無電電鍍將銀鍍上銅奈米線，並以油浴反應、改變硝酸銀與聚乙烯吡咯烷酮的莫耳數比，合成銀奈米材料。塗布至玻璃碳盤電極後，以穿隧式電子顯微鏡、紫外光-可見光光譜儀、X 射線繞射儀鑑定、以氣相質譜層析儀分析其電催化還原二氧化碳之產物與法拉第效率，發現產氫之法拉第效率以奈米銀立方電極 ，在電壓為0.65 V 至 -0.7 V 時最高；產一氧化碳之法拉第效率以銀奈米粒，在電壓約為 -1.1 V 時最高。銀奈米電極可以產熱值高的氫氣以及可進行多種反應、作為工業原料的一氧化碳，而銅鍍銀之奈米線電解之產物多元，包括碳氫化合物、一氧化碳、甲醇、乙醇等。
化學科,一步合成碳奈米複合材料與奈米碳管應用於超級電容電極修飾,褐藻酸,碳奈米材料,超級電容,本研究以高溫鍛燒的褐藻酸鈉鹽與亞硫酸銨混合粉末作為電極修飾材料，並與多層奈米碳管(CNT)混合後，附著於碳紙極電板上。修飾材料中推測含有碳奈米纖維與碳量子點，其表面具親水性的含氧官能基，可提高 CNT 在水相中的分散性；而碳奈米纖維則推測可增加材料的機械強度，提升電極可撓度。研究藉由調整鍛燒溫度和氮材合成比例，探討不同變因下製造的電極修飾材料對電容效能的影響。得知最佳鍛燒條件為：褐藻酸鈉鹽與亞硫酸銨 1：1(重量比)、鍛燒溫度為160℃。利用此條件下製作出來的電極修飾材料，可以使實驗材料達到最高的比電容值 324F/g。此製程大幅提升了奈米碳管的比電容值(對照組 128F/g)，期待未來能實際運用於電能儲存裝置上，或搭配電池應用於可撓式電子裝置。
化學科,合成抗體徵召分子以提升免疫細胞對細菌辨識力之研究,萬古黴素,連接單元,抗體徵召分子,自古以來，致病細菌便是人類免疫系統的強敵，加上近年來抗生素的濫用使細菌在具有抗藥性後更加棘手，相對的人體免疫系統愈顯衰弱。本研究成功合成了一個可以連結細菌和免疫細胞的複合分子，此複合分子是由萬古黴素、連接單元和生物素組成，稱之為複合分子VLB（Vancomycin-Linker-Biotin）。其中萬古黴素用來辨識並結合細菌細胞壁上的肽聚醣，生物素則可以與抗體結合並徵召免疫細胞。我們以螢光基團及抗體等，實際測試複合分子 VLB 對細菌的辨識力，確認其能在萬古黴素端與革蘭氏陽性菌連結，並在生物素端與抗體結合。我們藉由複合分子 VLB 增加細菌及免疫系統之間的親和力，以提升免疫細胞辨識細菌的能力，使其更快更有效地對抗細菌，解決多重抗藥性細菌難以擊敗的問題。利用本研究合成抗體徵召分子的方法，大幅提升免疫細胞對致病細菌的辨識力，將來可望有效地應用在臨床醫學上。
化學科,以二階段電壓/電流步進陽極處理法探討TiO2奈米管製備及應用,二氧化鈦奈米管,陽極處理法,,本實驗以二階段電壓/電流步進陽極處理法生長二氧化鈦奈米管，並找出最佳生長參數並能有效降解有機物。在實驗過程中，我們發現以氟化銨及有機醇類在形成二氧化鈦奈米管，有著較長管徑的效果。本驗以 20 x 20 mm2大小的鈦片，透過鈦片的前處理，不同程序的氧化步驟及不同的醇類來探討二氧化鈦奈米管進行降解亞甲藍的效果，以及二氧化鈦奈米管其生長情形。結果發現以化學處理及陽極氧化處理過的鈦片，在 0.6w%的氟化銨 2ml的水及 98%的乙二醇當作溶劑，以每分鐘調整 1V 直至 50V 在恆壓一小時的電壓步進法進行陽極處理，最後以 450 度進行退火，最後可得其二氧化鈦奈米管有最佳的降解效果。
生物化學科,藉由雙硫化物交聯製成的植物核酸奈米粒子可當作穀胱甘肽誘發的抗癌藥物載體,核酸,奈米水膠,藥物載體,由於人工合成的化學材料在包覆藥物進行人體醫療測試時，不可分解性會帶來體內累積的毒性，搜尋各類化合物的結構後，發現核酸上的含氮鹼基具有一級胺結構，可和天然交聯劑京尼平或 DTSSP 進行反應，因此，本研究抽取水果的核酸進行實驗，利用界面活性劑乳化的過程中將阿黴素(DOX)，包覆進入交聯後的核酸水膠，穿透式顯微鏡的結果顯示交聯後的水膠結構是球狀，平均粒徑大約是 120 奈米，核酸本身帶負電，水膠有包覆藥物的界面電位稍微減少負電，利用人類正常肺上皮細胞進行水膠共同培養，2 毫克/毫升的水膠溶液在連續培養 48小時後，並不會造成細胞死亡，奈米水膠在 pH 值 5.5 釋放 DOX 的量比 pH 值7.4 還要高出 27%，有奈米水膠包覆 DOX 的情況下，更能有效率進入癌細胞內與引起癌細胞毒性，本水果核酸製成的奈米水膠在生物體可分解的無毒包覆材料上，於未來可提供一個新的藥物載體參考。
生物化學科,新穎「螢光素酶—螢光奈米鑽石」細胞化驗機制標記於人類間葉幹細胞之藥物篩選應用與研究,螢光奈米鑽石,螢光素酶,人體間葉幹細胞,本實驗提 出了 一個 新 的細 胞化 驗平 台： 結 合螢 光素 酶和螢光 奈 米鑽 石（LuciferaseFluorescent Nanodiamond；Luc-FND）用來高靈敏檢測極少數量的細胞，克服人體間葉幹細胞（Mesenchymal Stem Cell; MSC）的數量稀少以及來源取得困難的問題。本實驗開發的 Luc-FND assay，不同於以往的 Luciferase assay，Luc-FND assay 利用了 FND 當奈米載體（約為 100nm），將裹上的螢光素酶送入細胞後監測細胞內冷光強度，用以得知細胞胞吞作用的多寡，進一步推算出細胞的存活率。本實驗將此機制應用於被不同濃度的化療用藥阿黴素（Doxorubicin；Dox）處理過的間葉幹細胞。結果顯示 Luc-FND assay 能夠高靈敏的檢測 Dox 對於間葉幹細胞的毒性，僅用 1 ×103個細胞就能測出低至 0.3125M 的 Dox 劑量。本研究結果顯示，Luc-FND 複合物是一種高效能的生醫工具，可將生物發光蛋白均質傳遞到間葉幹細胞中，提供了一種檢測和驗證治療成果的新方法。
地球與環境科學科,「方」「圓」之內──多邊形颱風眼之探究,颱風眼,正壓模式,渦度,在本研究中，我們在正壓模式裡植入渦旋，當作實驗中的颱風眼，以不同的渦旋結構類型、渦度環及渦度比值進行實驗並觀察其變化。實驗結果顯示當渦旋結構的徑向渦度梯度變率存在正負的變化時，有機會導致正壓不穩定的發生，促進擾動而使渦旋形成多邊形結構。當渦旋內部的渦度梯度越大，則多邊形的形成越快但邊數越少；若渦旋外圈的強渦度區越薄，多邊形的形成越快且邊數越多。多邊形渦旋結構的演化則有可能發生「邊數合併」或「混合內縮」的情形，最終達到穩定或均質化的狀態。2017 年泰利颱風行經台灣東北方海域時，我們從衛星雲圖中可觀察到颱風眼輪廓有多邊形變化，本文闡述此現象變化的歷程與可能的機制，進而希望在未來能利用此特點在颱風預報之領域中做出貢獻。
地球與環境科學科,「震」「震」有詞--臺灣南部大陸隱沒帶地震發生之研究與探討,地震,應力,斷層,本研究分析位於台灣西南部東經 120.5 度、北緯 21.7 度地震群。數據顯示在 1994-2017 年6 月間，於 20-70 公里深度處頻繁地出現地震，並且規模 4.0 以上的中大型地震好發於 40km左右。資料顯示此區地震發生和向西傾斜的張裂及走向滑移斷層關係密切，為說明聚合性板塊交界此種非聚合型低角度斷層的地震群的發生，我們利用一些模擬實驗和假設模型，解釋地震發生的空間規則，可能和板塊隱沒時應力施於交界處附近，使應力易累積於弱下部地殼與強上部地殼交界處有關，此模型在地震個數隨深度的分布與應力累積的空間分布均得到很好的證實。
地球與環境科學科,Co-movement！秋颱共伴效應之深入探討,共伴效應,輻合輻散場,地形風向,共伴效應發生的颱風時常帶來嚴重災情，促使我們投入對秋颱共伴效應的分析。利用地面風場、輻合輻散場、衛星雲圖、測站氣壓雨量等統計資料以及颱風路徑等資料分析後，顯示在中央氣象局分類的五號、六號、九號路徑的颱風，發生共伴效應的比例較其他路經之颱風高。在風場與輻合輻散場之比較得知共伴會隨著颱風環流與東北季風相對位置的接近而產生增強的現象，再用地面天氣圖與雨量統計資料確認高壓靠海導致東北季風含水氣量的增加也會加強共伴雲帶降水。利用數十個颱風與六個測站雨量與風向的變化結果相互比較後，得知地形風向效應也會導致當地瞬時及總降雨量增減，而風向與地走向之夾角越趨近於垂直影響雨量的效果則越顯著，而颱風路徑與共伴地形效應也有極大關聯性。最後利用高空比濕場驗證垂直上空氣舉升效應，確認風向輻合確實會造成氣塊舉升。
地球與環境科學科,臺灣異常酸雨與鹼雨之時序分析與探討,酸雨,懸浮微粒,,從環保署 2015~2017 年報中，全國酸雨（pH 值小於 5.0）比例最高在萬里及觀音站，全國鹼雨（pH 值大於 6.1）比例最高在崙背站。經資料分析後，研究發現以下結論：一、觀音站和萬里站皆為離海近且無當地污染源的背景站，因此酸雨污染源應是外來的；酸雨與 PM2.5 的形成方式有很高的關聯性，冬季的致酸汙染物可藉由東北季風到達臺灣，而使得酸雨發生比例高達 90%。二、崙背鹼雨與 [PM10-PM2.5] 的相關性最高，由緯向降水酸鹼值的變異分析發現當地局部地區的變遷很明顯，非外來環境影響所導致。三、崙背北方的揚塵為雨水致鹼的原因之一，鹼雨發生比例高達 90 %的月份皆在東北季風季，兩者雖非線性相關，但關聯性很高。四、極端酸雨、鹼雨僅發生在時雨量小於 5 mm 的事件。
地球與環境科學科,強降雨對美崙溪河口沙洲之影響,沙洲,降雨,沉積物粒徑,美崙溪河口沙洲位於我們學校附近，其形貌常在大雨或颱風後明顯改變。這使我們好奇，決定研究大雨和颱風對沙洲的影響。我們在降水事件前後以 GPS 記錄並比較沙洲輪廓；挖取不同深度的樣本，藉由搖篩取得沉積物粒徑比例。得出以下結果：一、降水事件前後，美崙溪河口沙洲北側沒有明顯的形貌變化，主因為鄰近之堤防位置，以及沿岸流與河流流向。二、即使沙洲外貌沒有明顯變化，仍需藉由沉積物分析，方能確定沙洲是否改變。三、中型降水事件，會使溪水漫過沙洲，造成沙洲中央礫石比例上升。四、總雨量大於 600mm 之降水事件足以沖毀沙洲，但事件後沙洲快速復原。一般認為蜿蜒曲折的美崙溪理應流速較慢，但本研究發現強降水後河口沙洲變化急劇。
