科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
數學科,三角形與其外接錐線的生成錐線性質探討,有向線段比值和,二次曲線系,重心座標,"本研究源自三角形的重心及其外接圓所構作的線段比值的古老幾何性質，我們不但推廣原命題，還創造新命題：給定 ∆𝐴𝐵𝐶 與其外接錐線 𝛤，令直線 𝐴𝐺 , 𝐶𝐺分別交 𝛤 於 𝐴′,𝐵′,𝐶′ 點，再取任意 𝑘 值，探討 𝑃 點集合的性質。 主要研究發現為：（1） 𝛤3,𝑘 為二次曲線系，其橢圓、拋物線、雙曲線之形態不因 𝑘 值而改變，而是被外接錐線 𝛤 所決定。 （2） 發現 ∆𝐴𝐵𝐶 重心 𝐺、𝛤 中心 𝑂、𝛤3,𝑘 中心 𝑂3,𝑘 的共線性及比例常數。 （3） 完整劃分 𝛤3,𝑘 的非退化與退化型態，並發現只有 𝛤3,𝑘 為橢圓時，𝑘 值有跳躍現象。 （4） 發現錐線 𝛤 上取相異六點而生成兩個錐線 𝛤3,𝑘、𝛱3,𝑘 重合的充分條件。 最後，我們以「錐線 𝛤 上取一點、兩點到多點」的線性組合手法，推廣多邊形與其外接錐線的生成錐線 𝛤𝑛,𝑘 之性質。"
數學科,故態復「蒙」，「日」新月異 -Monge's theorem的性質探討與推廣,蒙日定理,射影幾何,共點共線,本研究以蒙日定理「平面上三圓彼此的外公切線交點共線」及其對偶定理「平面上三圓彼此的內公切線交點與另一圓的圓心的連線共點」出發，探討三圓更多由內、外公切線所產生的共點共線性質，進而探討四圓以上的情形，以及正多邊形、圓錐曲線等位似圖形，並推廣至空間中的球體。正如本研究作品名稱，我們將鮮少人研究的蒙日定理萌發出新枝，在日夜中茁壯，甚至最後有驚人的發現「在空間中n個外離的球，任意1個球的球心與另n-1個球的蒙日點連線會共交一點，此點稱之為n球的蒙日點」，此「點」發現，讓人不禁對宇宙中星體之間的關係產生更多無限的想像。
數學科,多方塊的塗色問題,多方塊,,,在本篇研究報告中，主要討論一個關於多方塊的問題：給定一個多方塊，試找出n的最小值使得在無限大的棋盤上，可以塗上n種顏色並且使多方塊沿格線無論如何放置，都不會蓋到重複的顏色。一開始先以V形三方塊的情況開始討論，之後將單方塊至五方塊的所有情況都有系統地討論完畢。 為了給出顏色數的估計，考慮同時適用於所有k方塊的情況。也就是說，要找到一個塗上n種顏色的無限棋盤使得無論任一個被選定的多方塊怎麼被放置在棋盤上，都不會覆蓋到相同顏色的格子。本篇研究成功地給出了此問題的精確解。 除了上面一種估計之外，本篇研究也考慮了矩形多方塊的顏色數，並試圖以之給出所有多方塊所需的顏色數之上下界。最後我得到k方塊所需的顏色數至多為8 25 (𝑘+1)2.
數學科,"動物大""關""園 ──探討與推廣特定限制下的組合問題 ",定距,排列組合,生成函數,"將1,2,...,n依序排成直線，任意取出k個數，取法數即為 n k C，但如果取出的k個數有限制，那問題就會有很多的變化。我們最先探討的是不含定距元素的直線與圓排列的組合問題，先從k中無任兩數相鄰，再將問題一般化成使得k中無任兩數之間隔為m。我們用分割的方法代替多數前人所採用的複雜的遞迴關係，求出取法數。 接著，我們推廣取法的限制，運用排列組合、排容原理、以及生成函數等做法，深入的探討各式各樣的組合數。"
數學科,格子直線數與歐拉函數之探討與推廣,格子直線,歐拉函數,法里序列,本研究在探討過原點且通過特定格子區域格子點的直線數；先討論正方形的區域，發現這樣的直線數與法里序列及歐拉函數有關，並使用這些結果得到三角形區域中的直線數。接下來，我們將上述問題從正方形區域推廣至高維度的(超)立方體區域，得到欲求的直線數，並介紹四個歐拉函數的推廣形式，其中一種是約當囿互質函數，使用這些函數不僅能簡化計算，更能拓寬歐拉函數的視野。最後，我們也計算單體區域，即高維度中廣義三角形區域中的直線數，這些結果成為法里序列的推廣形式，而我們所獲得的公式可以藉由第一類斯特林數表示。
化學科,透明有機發光元件,發光材料,有機發光二極體,透明顯示器,"本研究以熱激活化延遲螢光（Thermally Activated Delayed Fluorescence, TADF)材料之第三代有機發光二極體（OLED）為主軸，利用吖啶（acridine）作為電子予體、間位及臨位之雙CN苯環（phenylene, Ph）為電子受體，透過有機合成製備DMAC-m2CNPh及DMAC-o2CNPh分子。此外，我們檢測發現DMAC-o2CNPh具有極高的外部量子效率，並將此分子結合透明電極，經由熱蒸鍍製作出透明有機發光元件，探討元件的放光效率及應用性。本研究製作出吸光波長在可見光範圍外的分子，因此蒸鍍在透明基板上後可製作出透明的有機發光元件。將研究成果能應用在生活中，如展示櫥窗顯示新聞、汽車玻璃作為顯示器等，以期能夠提升生活的便利性及運用性。"
化學科,ELISA-SERS分析法應用於檢測卵巢癌前驅因子－結合球蛋白,酵素連結免疫吸附分析法,表面增強拉曼光譜,結合球蛋白,結合球蛋白(Hp)屬於一種急性反應期血清糖蛋白，目前廣泛作為預測卵巢癌的生物指標，檢測疑似卵巢癌腫瘤組織液中所含的Hp濃度，可判斷檢體是否為卵巢癌及是良性或惡性。 我們提出一種新穎的ELISA-SERS分析法，能靈敏地、可靠地定量分析結合球蛋白，首先競爭型ELISA反應得到黃色TMB2+，傳統的ELISA Reader 是測它在450 nm的吸光度而定量，而我們使用晶片及奈米金的表面增強拉曼光譜(SERS)，測TMB2+在1605 cm-1的拉曼訊號強度，將訊號強度對數值與Hp濃度對數值作圖，得到非常好的線性關係，其相關係數平方值R2大於0.99，可做為結合球蛋白(Hp) 的標準檢量線，非常精準地測出濃度介於20.0μg/mL至0.078 μg/mL的HP。臨床檢驗上，先將抽出的腹水的濃度稀釋為原來的千分之一，此時臨界值介於2.0 μg/mL–2.5 μg/mL，正好落在我們創新的ELISA-SERS分析法標準檢量線的適用濃度範圍。
動物學科,你在看哪裡 --蝌蚪眼睛位置及其視野之研究,蝌蚪,眼睛位置,視野範圍,陸域草食性動物的眼居於頭兩側，有較寬的單眼視野以便於逃避攻擊；而肉食性動物的眼居於頭前方，立體視覺較佳，有較好的距離感以捕捉獵物。我們利用Geogebra軟體分析台灣33種蝌蚪頭部影像資料，定位出每種蝌蚪眼睛的相對位置，並以數學幾何方式描繪眼睛的視野範圍。 我們發現蝌蚪眼睛位置可依兩眼距離分為“側位”(23%)、“背側位”(67%)及“背位” (10%) 三種型態。側位兩眼距較大，背位兩眼距較小。蝌蚪眼睛視野則可分為“前視型”(42%)及“側視型”(58%) 二種型態，前視型雙眼視覺區較大，側視型視野範圍較廣。我們將眼睛位置與視野範圍的數據與蝌蚪的棲息環境、食性種類及演化分類等進行相關分析，結果發現:1.眼睛位置與棲息環境有相關，棲息越接近水面，為「側位」；棲息越接近水底或是密閉空間，為「背位」。 2.視野範圍與食性種類有相關， 肉食性蝌蚪雙眼視覺角度較大，濾食性整體視野較廣。3.眼睛型態與物種演化關係大部分相符合，同一屬且生態棲位相似者，蝌蚪眼睛型態會相似，如台灣狹口蛙科Microhyla屬4種蝌蚪都是側位型；樹蛙科Kurixalus屬的3種蝌蚪都是背位型；但有些例外，如面天樹蛙眼位與同屬艾氏樹蛙不同，可能與生態棲位不同，而演化成不同的眼位有關。
動物學科,內皮素對稻田魚(Oryzias latipes)胚胎適應酸環境之調節,內皮素,稻田魚,酸調節,哺乳類的內皮素(endothelin-1 ; EDN1)與其受體endothelin receptor B己知可共同參與腎臟排酸功能之調節，在魚類的表現上，亦有研究指出EDN1會影響到斑馬魚的排酸。本研究中以廣鹽性魚種稻田魚(Oryzias latipes)仔魚為實驗對象，經6小時以上時間酸處理後其體表排酸量皆顯著增強，且經6小時酸處理後，仔魚rhcg1及內皮素受體EDNRA2的基因表現量也顯著增加，並發現當弱化(knockdown)仔魚的endothelin-1基因後，其體表排酸量顯著下降，證實endothelin-1對仔魚排酸作用有直接的影響。而當仔魚endothelin-1的基因表現被抑制後，其離子細胞密度以及離子通道蛋白基因表現不受影響，推測內皮素並非以增加離子細胞的方式影響排酸，而是藉由轉譯後調控途徑，使其排酸功能增強。另外本研究中再將6小時及7天酸處理實驗結果比對後，推測當稻田魚仔魚面臨短期或長期酸環境刺激時，內皮素調節機制亦略有不同。
動物學科,中樞神經節對美洲蟑螂步足反射的影響,美洲蟑螂,反射作用,中樞神經節,"本研究透過測量美洲蟑螂(Periplaneta americana)後足反射之程度與耗時等參數，探討中樞神經系統中各神經節在後足反射所扮演的角色。我們發現腦神經節對於反射作用有抑制與整合的效應，前胸神經節會增強反射，而後足的反射中樞位於中胸神經節與後胸神經節，腹部神經節則會抑制反射。本研究以電池座、釘書針與網路攝影機等簡單器材觀察、量化昆蟲足部反射運動，可推廣成國中生物中「反射」相關課程之行為觀察的探討活動。此外本研究也透過步足肌肉的肌肉電位圖(electromyography, EMG)記錄，證實了腦神經節在步足反射過程中具有調控功能。本研究的成果可應用在仿生醫療上，有助於術後復健或輔具製造的相關研究。"
